http_request_url,nos_redirects,status_code_tool,final_processed_url,error_message_tool,website,afid,name,status_code_requests,notes,updated_name,google_url
http://www.crossfitoscarmike.com,,200,https://www.oscarmikefitness.com/,,www.crossfitoscarmike.com,17905,CrossFit Oscar Mike,,,CrossFit+Oscar+Mike,https://www.google.com/search?q=CrossFit+Oscar+Mike
http://www.crossfitoceanbeach.com,,200,https://crossfitob.com/,,www.crossfitoceanbeach.com,17907,CrossFit Ocean Beach,,,CrossFit+Ocean+Beach,https://www.google.com/search?q=CrossFit+Ocean+Beach
http://www.crossfitturbocharged.com,,200,http://crossfitturbocharged.com/,,www.crossfitturbocharged.com,17909,CrossFit TurboCharged,,,CrossFit+TurboCharged,https://www.google.com/search?q=CrossFit+TurboCharged
http://www.crossfitloyalty.com,,200,https://www.crossfitloyalty.com/,,www.crossfitloyalty.com,17910,CrossFit Loyalty,,,CrossFit+Loyalty,https://www.google.com/search?q=CrossFit+Loyalty
http://www.crossfitalain.com,,200,https://www.crossfitalain.com/,,www.crossfitalain.com,17913,CrossFit Al Ain,,,CrossFit+Al+Ain,https://www.google.com/search?q=CrossFit+Al+Ain
http://www.crossfitimbativel.com,,200,https://crossfitimbativel.com/,,www.crossfitimbativel.com,17917,CrossFit Imbativel,,,CrossFit+Imbativel,https://www.google.com/search?q=CrossFit+Imbativel
http://www.crossfitfactorial.com,,200,https://www.crossfitfactorial.com/,,www.crossfitfactorial.com,17922,CrossFit Factorial,,,CrossFit+Factorial,https://www.google.com/search?q=CrossFit+Factorial
http://www.crossfitsagittarius.com,0,200,http://www.crossfitsagittarius.com,,www.crossfitsagittarius.com,17923,CrossFit Sagittarius,,,CrossFit+Sagittarius,https://www.google.com/search?q=CrossFit+Sagittarius
http://www.kopacrossfit.com,,200,https://kopacrossfit.com/,,www.kopacrossfit.com,17929,KOPA CrossFit,,,KOPA+CrossFit,https://www.google.com/search?q=KOPA+CrossFit
http://www.crossfitatp.com,,200,https://www.crossfitatp.com/,,www.crossfitatp.com,17933,CrossFit ATP,,,CrossFit+ATP,https://www.google.com/search?q=CrossFit+ATP
http://www.tuskcrossfit.com,,200,https://www.tuskcrossfit.com/,,www.tuskcrossfit.com,17934,Tusk CrossFit,,,Tusk+CrossFit,https://www.google.com/search?q=Tusk+CrossFit
http://www.crossfitcvi.com,,200,https://crossfitcvi.com/,,www.crossfitcvi.com,17935,CrossFit CVI,,,CrossFit+CVI,https://www.google.com/search?q=CrossFit+CVI
http://www.crossfitlockdown.com,0,200,http://www.crossfitlockdown.com,,www.crossfitlockdown.com,17937,CrossFit LockDown,,,CrossFit+LockDown,https://www.google.com/search?q=CrossFit+LockDown
http://www.crossfitbanda.com,,200,https://crossfitbanda.com/,,www.crossfitbanda.com,17939,CrossFit Banda,,,CrossFit+Banda,https://www.google.com/search?q=CrossFit+Banda
http://www.crossfitauthentique.com,,200,https://crossfitauthentique.com/,,www.crossfitauthentique.com,17947,CrossFit Authentique,,,CrossFit+Authentique,https://www.google.com/search?q=CrossFit+Authentique
http://www.crossfiterlangen.com,0,200,http://www.crossfiterlangen.com,,www.crossfiterlangen.com,17948,CrossFit Erlangen,,,CrossFit+Erlangen,https://www.google.com/search?q=CrossFit+Erlangen
http://www.crossfitethos.com,,200,http://ww11.crossfitethos.com/,,www.crossfitethos.com,17949,CrossFit Ethos,,,CrossFit+Ethos,https://www.google.com/search?q=CrossFit+Ethos
http://www.crossfitmontichiari.com,,200,https://crossfitmontichiari.com/,,www.crossfitmontichiari.com,17959,CrossFit Montichiari,,,CrossFit+Montichiari,https://www.google.com/search?q=CrossFit+Montichiari
http://www.crossfitpalmharbor.com,0,200,http://www.crossfitpalmharbor.com,,www.crossfitpalmharbor.com,17970,CrossFit Palm Harbor,,,CrossFit+Palm+Harbor,https://www.google.com/search?q=CrossFit+Palm+Harbor
http://www.buffalonickelcrossfit.com,,200,https://buffalonickelcrossfit.com/,,www.buffalonickelcrossfit.com,17974,Buffalo Nickel CrossFit,,,Buffalo+Nickel+CrossFit,https://www.google.com/search?q=Buffalo+Nickel+CrossFit
http://www.crossfitbluehouse.com,,200,https://bluehousefitness.com/,,www.crossfitbluehouse.com,17983,CrossFit Blue House,,,CrossFit+Blue+House,https://www.google.com/search?q=CrossFit+Blue+House
http://www.crossfit5451.com,,200,https://crossfit5451.com/,,www.crossfit5451.com,18002,CrossFit 5451,,,CrossFit+5451,https://www.google.com/search?q=CrossFit+5451
http://www.crossfitwangen.com,,200,https://crossfitwangen.de/,,www.crossfitwangen.com,18004,CrossFit Wangen,,,CrossFit+Wangen,https://www.google.com/search?q=CrossFit+Wangen
http://www.crossfitfyr.com,,200,https://crossfitfyr.com/,,www.crossfitfyr.com,18008,CrossFit FYR,,,CrossFit+FYR,https://www.google.com/search?q=CrossFit+FYR
http://www.crossfitantequera.com,,200,https://www.crossfitantequera.com/,,www.crossfitantequera.com,18015,CrossFit Antequera,,,CrossFit+Antequera,https://www.google.com/search?q=CrossFit+Antequera
http://www.crossfitdrummond.com,,200,https://crossfitdrummond.com/,,www.crossfitdrummond.com,18021,CrossFit Drummond,,,CrossFit+Drummond,https://www.google.com/search?q=CrossFit+Drummond
http://www.crossfittzafon.com,0,200,http://www.crossfittzafon.com,,www.crossfittzafon.com,18027,CrossFit Tzafon,,,CrossFit+Tzafon,https://www.google.com/search?q=CrossFit+Tzafon
http://www.redoxcrossfit.com,,200,https://www.redoxcrossfit.com/,,www.redoxcrossfit.com,18030,Redox CrossFit,,,Redox+CrossFit,https://www.google.com/search?q=Redox+CrossFit
